text,intent
Wann kommt meine Bestellung F3009 an?,shipping_status
Ich warte noch auf meine Bestellung B2045.,shipping_status
Die Zahlung für meine Bestellung funktioniert nicht.,payment_issue
Die Zahlung für meine Bestellung funktioniert nicht.,payment_issue
Meine Zahlung wurde abgelehnt.,payment_issue
Ich brauche Informationen zu Buch.,product_information
Warum wurde meine Kreditkarte nicht akzeptiert?,payment_issue
Welche Eigenschaften hat Laptop?,product_information
Kann ich Laptop zurückgeben?,returns_refund
Wann kommt meine Bestellung B2045 an?,shipping_status
Kann ich Monitor zurückgeben?,returns_refund
Ich brauche Informationen zu T-Shirt.,product_information
Ich möchte Buch zurücksenden.,returns_refund
Wo ist mein Paket C7788?,shipping_status
Die Zahlung für meine Bestellung funktioniert nicht.,payment_issue
Kannst du mir mehr über Kamera sagen?,product_information
Gibt es ein Update zur Lieferung A1001?,shipping_status
Ist T-Shirt aktuell verfügbar?,product_information
Die Zahlung für meine Bestellung funktioniert nicht.,payment_issue
Die Zahlung für meine Bestellung funktioniert nicht.,payment_issue
Wo ist mein Paket E4455?,shipping_status
Kann ich Buch zurückgeben?,returns_refund
Die Zahlung für meine Bestellung funktioniert nicht.,payment_issue
Wie kann ich Kamera retournieren?,returns_refund
Wie ist der Versandstatus von F3009?,shipping_status
Welche Eigenschaften hat Kopfhörer?,product_information
Wann kommt meine Bestellung D9012 an?,shipping_status
Welche Eigenschaften hat Smartphone?,product_information
Meine Zahlung wurde abgelehnt.,payment_issue
Ich möchte Kamera zurücksenden.,returns_refund
Warum wurde meine Kreditkarte nicht akzeptiert?,payment_issue
Ich möchte Details zu Laptop wissen.,product_information
Kannst du mir mehr über Smartphone sagen?,product_information
Warum wurde meine Kreditkarte nicht akzeptiert?,payment_issue
Welche Eigenschaften hat Smartphone?,product_information
Die Zahlung für meine Bestellung funktioniert nicht.,payment_issue
Kannst du mir mehr über Tablet sagen?,product_information
Wo ist mein Paket A1001?,shipping_status
Meine Zahlung wurde abgelehnt.,payment_issue
Wie bekomme ich eine Erstattung für Kamera?,returns_refund
Wie kann ich Laptop retournieren?,returns_refund
Ich warte noch auf meine Bestellung C7788.,shipping_status
Wie ist der Versandstatus von E4455?,shipping_status
Ich warte noch auf meine Bestellung C7788.,shipping_status
Ich brauche Hilfe bei der Rücksendung von Monitor.,returns_refund
Ich möchte Kamera zurücksenden.,returns_refund
Kannst du mir mehr über Smartphone sagen?,product_information
Welche Eigenschaften hat Kopfhörer?,product_information
Ist Tablet aktuell verfügbar?,product_information
Ich brauche Hilfe bei der Rücksendung von Monitor.,returns_refund
Kann ich Kamera zurückgeben?,returns_refund
Warum wurde meine Kreditkarte nicht akzeptiert?,payment_issue
Gibt es ein Update zur Lieferung B2045?,shipping_status
Kann ich Smartphone zurückgeben?,returns_refund
Wie ist der Versandstatus von E4455?,shipping_status
Wie kann ich Smartphone retournieren?,returns_refund
Wie bekomme ich eine Erstattung für Monitor?,returns_refund
Ich möchte Smartphone zurücksenden.,returns_refund
Welche Eigenschaften hat Smartphone?,product_information
Wie ist der Versandstatus von B2045?,shipping_status
Die Zahlung für meine Bestellung funktioniert nicht.,payment_issue
Ist Smartphone aktuell verfügbar?,product_information
Ich sehe eine doppelte Abbuchung.,payment_issue
Ich brauche Hilfe bei der Rücksendung von Tablet.,returns_refund
Ich sehe eine doppelte Abbuchung.,payment_issue
Wo ist mein Paket B2045?,shipping_status
Wie bekomme ich eine Erstattung für Laptop?,returns_refund
Kann ich Buch zurückgeben?,returns_refund
Wie ist der Versandstatus von F3009?,shipping_status
Wie kann ich Kopfhörer retournieren?,returns_refund
Meine Zahlung wurde abgelehnt.,payment_issue
Meine Zahlung wurde abgelehnt.,payment_issue
Ich möchte Smartphone zurücksenden.,returns_refund
Ich möchte Details zu Smartphone wissen.,product_information
Kann ich Kopfhörer zurückgeben?,returns_refund
Welche Eigenschaften hat Kamera?,product_information
Warum wurde meine Kreditkarte nicht akzeptiert?,payment_issue
Wie ist der Versandstatus von B2045?,shipping_status
Meine Zahlung wurde abgelehnt.,payment_issue
Wann kommt meine Bestellung C7788 an?,shipping_status
Warum wurde meine Kreditkarte nicht akzeptiert?,payment_issue
Kann ich Laptop zurückgeben?,returns_refund
Welche Eigenschaften hat T-Shirt?,product_information
Ich warte noch auf meine Bestellung F3009.,shipping_status
Ich möchte Details zu Kamera wissen.,product_information
Ich warte noch auf meine Bestellung D9012.,shipping_status
Wie kann ich T-Shirt retournieren?,returns_refund
Wann kommt meine Bestellung E4455 an?,shipping_status
Gibt es ein Update zur Lieferung E4455?,shipping_status
Warum wurde meine Kreditkarte nicht akzeptiert?,payment_issue
Die Zahlung für meine Bestellung funktioniert nicht.,payment_issue
Ich warte noch auf meine Bestellung E4455.,shipping_status
Kannst du mir mehr über T-Shirt sagen?,product_information
Warum wurde meine Kreditkarte nicht akzeptiert?,payment_issue
Kann ich Monitor zurückgeben?,returns_refund
Gibt es ein Update zur Lieferung F3009?,shipping_status
Ist Laptop aktuell verfügbar?,product_information
Kann ich Kamera zurückgeben?,returns_refund
Kannst du mir mehr über Smartphone sagen?,product_information
Kann ich Monitor zurückgeben?,returns_refund
Kannst du mir mehr über Tablet sagen?,product_information
Ist Smartphone aktuell verfügbar?,product_information
Welche Eigenschaften hat Kamera?,product_information
Kann ich Tablet zurückgeben?,returns_refund
Meine Zahlung wurde abgelehnt.,payment_issue
Meine Zahlung wurde abgelehnt.,payment_issue
Wie kann ich Monitor retournieren?,returns_refund
Gibt es ein Update zur Lieferung F3009?,shipping_status
Die Zahlung für meine Bestellung funktioniert nicht.,payment_issue
Welche Eigenschaften hat Monitor?,product_information
Gibt es ein Update zur Lieferung F3009?,shipping_status
Kann ich Smartphone zurückgeben?,returns_refund
Ich möchte Details zu Buch wissen.,product_information
Die Zahlung für meine Bestellung funktioniert nicht.,payment_issue
Wo ist mein Paket F3009?,shipping_status
Ich brauche Informationen zu Laptop.,product_information
Ich brauche Informationen zu Kamera.,product_information
Wie ist der Versandstatus von E4455?,shipping_status
Die Zahlung für meine Bestellung funktioniert nicht.,payment_issue
Wie ist der Versandstatus von A1001?,shipping_status
